ID	Nombre	Apellido	Camisola	Seleccion	Puesto	Club					
458	Brayan	Beckeles	21	20	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Boavista');					
459	Donis	Escober	22	20	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Olimpia');					
460	Marvin	Chavez	23	20	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Chivas USA');					
461	Sergio 	Romero	1	21	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Mónaco');					
462	Ezequiel	 Garay	2	21	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Benfica');					
463	Hugo 	Campagnaro	3	21	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Inter de Milán');					
464	Pablo 	Zabaleta	4	21	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Manchester City');					
465	Fernando 	Gago	5	21	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Boca Juniors');					
466	Lucas 	Biglia	6	21	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Lazio');					
467	Ángel 	Di María	7	21	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Real Madrid');					
468	Enzo	 Pérez	8	21	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Benfica');					
469	Gonzalo 	Higuaín	9	21	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Napoli');					
470	Lionel 	Messi 	10	21	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Barcelona');					
471	Maximiliano 	Rodríguez	11	21	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Newell's Old Boys');					
472	Agustín 	Orion	12	21	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Boca Juniors');					
473	Augusto 	Fernández	13	21	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Celta de Vigo');					
474	Javier 	Mascherano	14	21	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Barcelona');					
475	Martín 	Demichelis	15	21	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Manchester City');					
476	Marcos	 Rojo	16	21	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Sporting de Lisboa');					
477	Federico 	Fernández	17	21	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Napoli');					
